No,spot_name,spot_lat,spot_lng,category,reviews,visible
1,深大寺,35.6675148,139.5504606,寺・神社,163,TRUE
2,都立神代植物公園,35.6714789,139.5458517,公園・植物園,131,TRUE
3,味の素スタジアム,35.66422027,139.5270341,名所・史跡,107,TRUE
4,深大寺 山門,35.6675148,139.5504606,寺・神社,40,TRUE
5,深大寺 本堂,35.6675148,139.5504606,寺・神社,35,TRUE
6,布多天神社,35.6567223,139.5455218,寺・神社,34,TRUE
7,深大寺 元三大師堂,35.66771527,139.550069,名所・史跡,30,TRUE
8,深大寺天然温泉 湯守の里,35.6641965,139.5486518,温泉,29,TRUE
9,深大寺 深沙堂,35.66790267,139.5486045,名所・史跡,26,TRUE
10,武蔵野の森 総合スポーツプラザ,35.6649534,139.5238771,名所・史跡,12,TRUE
11,深大寺 釈迦堂,35.66748456,139.5498133,名所・史跡,23,TRUE
12,京王フローラルガーデンアンジェ,35.6448694,139.5356159,公園・植物園,21,TRUE
13,深大寺水車館,35.667607,139.548167,美術館・博物館,23,TRUE
14,天神通り,35.653101,139.544394,名所・史跡,18,TRUE
15,深大寺 鐘楼,35.6675148,139.5504606,寺・神社,20,TRUE
16,深大寺 延命観音,35.6675148,139.5504606,寺・神社,20,TRUE
17,仙川湯けむりの里,35.65744237,139.5876041,温泉,27,TRUE
18,旧甲州街道,35.65245847,139.5589309,名所・史跡,38,TRUE
19,国領神社,35.6527979,139.5523769,寺・神社,17,TRUE
20,野川の桜,35.64139235,139.5888957,花見,16,TRUE
21,イオンシネマ シアタス調布,35.65249602,139.5419612,名所・史跡,16,TRUE
22,水生植物園 深大寺城跡,35.665891,139.55148,公園・植物園,20,TRUE
23,深大寺 開山堂,35.66792446,139.5503426,名所・史跡,21,TRUE
24,深大寺 不動堂,35.66677827,139.5510574,名所・史跡,19,TRUE
25,武者小路実篤記念館,35.653482,139.584543,美術館・博物館,15,TRUE
26,大正寺,35.655333,139.545716,寺・神社,10,TRUE
27,調布市花火大会,35.63959406,139.5409511,祭り・イベント,13,TRUE
28,実篤公園,35.65756562,139.5814587,公園・植物園,11,TRUE
29,電気通信大学,35.65605517,139.5440752,名所・史跡,10,TRUE
30,深大寺 東門,35.66757813,139.5504139,寺・神社,12,TRUE
31,調布市観光案内所 ぬくもりステーション,35.6520533,139.5438441,名所・史跡,9,TRUE
32,深大寺城跡,35.6642041,139.5493166,名所・史跡,16,TRUE
33,多摩川原橋,35.64452196,139.5264198,名所・史跡,6,TRUE
34,京王閣競輪場,35.6433184,139.5352392,名所・史跡,13,TRUE
35,青渭神社,35.667229,139.552992,寺・神社,11,TRUE
36,常性寺,35.651712,139.551381,寺・神社,7,TRUE
37,東宝調布スポーツパーク,35.6491784,139.5255367,テーマパーク,5,TRUE
38,近藤勇生家跡,35.6789662,139.5258923,名所・史跡,14,TRUE
39,深大寺 そばまつり,35.6675148,139.5504606,祭り・イベント,5,TRUE
40,調布市せんがわ劇場,35.6614491,139.5868771,祭り・イベント,5,TRUE
41,東京蚤の市,35.6433184,139.5352392,祭り・イベント,8,TRUE
42,西光寺,35.658298,139.529832,寺・神社,5,TRUE
43,スタジアム通り,35.66137244,139.5233493,名所・史跡,5,TRUE
44,東京五輪マラソン折返点記念碑,35.66430743,139.523161,名所・史跡,8,TRUE
45,昌翁寺,35.664278,139.584928,寺・神社,4,TRUE
46,金龍寺,35.6607437,139.5737367,寺・神社,7,TRUE
47,虎狛神社,35.661435,139.550428,寺・神社,5,TRUE
48,調布七福神めぐり,35.65827817,139.5298303,祭り・イベント,4,TRUE
49,ポケットガーデン,35.6634009,139.5254355,名所・史跡,3,TRUE
50,深大寺自然広場 野草園,35.663462,139.556628,公園・植物園,4,TRUE
51,泉龍寺,35.63311799,139.5757385,寺・神社,3,TRUE
52,上石原若宮八幡神社,35.65292741,139.5287676,寺・神社,3,TRUE
53,調布市郷土博物館,35.6468315,139.536173,美術館・博物館,4,TRUE
54,常楽院(思い出のアルバム歌碑),35.656592,139.574023,寺・神社,4,TRUE
55,撥雲館,35.67864222,139.5256707,名所・史跡,4,TRUE
56,深大寺だるま市,35.6675148,139.5504606,祭り・イベント,4,TRUE
57,光徳寺,35.65720986,139.5843502,寺・神社,4,TRUE
58,湯の森 深大湯,35.6774189,139.5465189,温泉,2,TRUE
59,安善寺,35.6574025,139.5846942,寺・神社,3,TRUE
60,映画俳優の碑,35.64547454,139.5385713,名所・史跡,3,TRUE
61,調布よさこい,35.65309686,139.5441895,祭り・イベント,3,TRUE
62,古天神公園,35.6444155,139.5436605,公園・植物園,3,TRUE
63,むいから民家園 (狛江市立古民家園),35.63286997,139.5709493,公園・植物園,4,TRUE
64,くすのきホール,35.6509894,139.5413129,名所・史跡,4,TRUE
65,前原公園,35.6448461,139.5700772,公園・植物園,3,TRUE
66,光西寺,35.65766169,139.5846546,寺・神社,3,TRUE
67,玉泉寺,35.62692218,139.5739682,寺・神社,2,TRUE
68,小足立のびのび公園,35.6477429,139.5728628,公園・植物園,2,TRUE
69,野川緑地公園,35.64292482,139.5785565,公園・植物園,2,TRUE
70,下布田遺跡 郷土博物館分室,35.643711,139.54847,美術館・博物館,1,TRUE
71,都立神代植物公園梅まつり,35.6714789,139.5458517,祭り・イベント,1,TRUE
72,アミノバイタルフィールド,35.66278868,139.5295226,名所・史跡,2,TRUE
73,東京アートミュージアム,35.660739,139.587235,美術館・博物館,2,TRUE
74,深大寺 薪能,35.6675148,139.5504606,祭り・イベント,2,TRUE
75,蓮慶寺,35.65148459,139.5470871,寺・神社,1,TRUE
76,大坂 (若葉町3丁目第3緑地),35.654114,139.585088,名所・史跡,1,TRUE
77,明照院 糟嶺神社,35.65011569,139.5830044,寺・神社,1,TRUE
78,玉川碑,35.6344532,139.5656146,名所・史跡,2,TRUE
79,調布映画祭,35.6510172,139.5412059,祭り・イベント,2,TRUE
80,調布航空宇宙センター,35.6807848,139.5583363,美術館・博物館,2,TRUE
81,兜塚古墳,35.6342066,139.5699039,名所・史跡,2,TRUE
82,狛江の五本松,35.63174894,139.5666458,名所・史跡,2,TRUE
83,亀塚古墳,35.6307009,139.5733399,名所・史跡,1,TRUE
84,ニキシマスポーツセンター,35.6586654,139.5179199,ゴルフ場,1,TRUE
85,染地せせらぎの散歩道,35.642537,139.55891,名所・史跡,1,TRUE
86,伊豆美神社,35.634656,139.5689892,寺・神社,1,TRUE
87,深大寺鬼燈まつり,35.6675148,139.5504606,祭り・イベント,1,FALSE
88,調布市商工まつり,35.6508145,139.5416324,祭り・イベント,1,FALSE
89,味の素スタジアム,35.66462143,139.5277369,公共施設,0,FALSE
90,西光寺,35.65800528,139.5294535,寺・神社,0,FALSE
91,明照院,35.6500961,139.5829705,寺・神社,0,FALSE
92,祇園寺,35.65955856,139.5554061,寺・神社,0,FALSE
93,湧水,35.66761047,139.54687,飲食店,0,TRUE
94,Abc,35.66594352,139.5609079,公共施設,0,FALSE
95,セブンイレブン,35.65261041,139.5454555,テーマパーク,0,FALSE
96,BAQET,35.6527776,139.5435834,飲食店,0,FALSE
97,BAQET,35.65297524,139.5436263,飲食店,0,TRUE
98,Tokyu Store,35.64995009,139.5431506,飲食店,0,FALSE
99,神戸屋キッチンエクスプレス,35.65165811,139.5451462,飲食店,0,TRUE
100,パンdeアノー,35.64575728,139.554115,飲食店,0,TRUE
101,布田4丁目ベーカリー,35.64804262,139.5449521,飲食店,0,TRUE
102,深大寺城跡,35.66468637,139.5476863,名所・史跡,0,TRUE
103,vansanキッチンイタリアン,35.65475302,139.5448163,飲食店,0,TRUE
104,ポポラマーマ,35.65036839,139.5432042,飲食店,0,TRUE
105,調布駅,35.65189024,139.5445695,その他,0,TRUE
106,cafe＆pasta　CRESSON,35.65405227,139.5673146,飲食店,0,TRUE
107,創作イタリアン　バステトカフェ,35.65255281,139.5442691,飲食店,0,TRUE
108,Barry&#039;s,35.65209947,139.5460715,飲食店,0,TRUE
109,鬼太郎ひろば,35.65359895,139.5379605,公園・植物園,0,TRUE
110,野川沿いの歩道,35.66024162,139.550288,その他,0,TRUE
111,柴咲公園,35.66438211,139.5636454,公園・植物園,0,TRUE
112,上ノ原公園,35.66098593,139.5625363,公園・植物園,0,TRUE
113,野川公園,35.6826413,139.5247211,公園・植物園,0,TRUE
114,スタジアム通り,35.67771304,139.5208427,花見,0,TRUE
115,武蔵野の森公園,35.67608765,139.5234551,公園・植物園,0,TRUE
116,プロペラカフェ,35.66935913,139.5293345,公園・植物園,0,TRUE
117,国立天文台,35.67493722,139.537703,公共施設,0,TRUE
118,仙川フィックスホール,35.66078207,139.5876136,公共施設,0,TRUE
119,せんがわ劇場,35.66168864,139.5866265,公共施設,0,FALSE
120,電気通信大学西2号館,35.65738009,139.5411539,その他,0,FALSE
121,セブンイレブン電気通信大学前,35.65620513,139.5403817,飲食店,0,FALSE
122,ビックカメラ京王調布店,35.6522955,139.5429051,公共施設,0,FALSE
123,つつじヶ丘駅,35.65175076,139.5673146,公共施設,0,FALSE
124,つつじヶ丘駅,35.65848075,139.5749106,公共施設,0,TRUE
125,飛田給駅,35.66022418,139.524013,公共施設,0,TRUE
126,御塔坂橋,35.66566344,139.5433249,その他,0,TRUE
127,道生神社,35.65872484,139.5254722,寺・神社,0,TRUE
128,調布パルコ,35.65237845,139.5434966,その他,0,TRUE
129,パンケーキ専門店　バター＆ミルク,35.64933035,139.5510434,飲食店,0,TRUE
130,銚子丸,35.64731007,139.5460591,飲食店,0,FALSE
131,長崎原爆資料館,32.77257418,129.8644126,美術館・博物館,0,TRUE
132,蓮慶寺,35.6514771,139.5468787,寺・神社,0,TRUE
