,name,latitude,longitude
0,大阪エクセルホテル東急,34.6804715,135.5001569
1,ホテルヴィスキオ大阪,34.7067268,135.4951752
2,ユニバーサル・スタジオ・ジャパン（USJ）,34.6654759,135.4327369
3,大阪水上バス「アクアライナー」,34.6912297,135.5337627
4,海遊館,34.6545182,135.4289398
5,阪急うめだ本店,34.7026562,135.4986712
6,animalcafe,34.6970119,135.4858721
7,なんばグランド花月,34.6650043,135.5035746
8,天神橋筋商店街,34.706883,135.5117391
9,グランフロント大阪,34.7059502,135.4944554
10,ハルカス300,34.6459167,135.5134821
11,空庭温泉OSAKA,34.6703645,135.4595375
12,阪神梅田本店,34.7011275,135.4977844
13,itoaware-いとあはれ-大阪店,34.7081486,135.50389
14,なんばパークス,34.6618101,135.5017943
15,天王寺動物園,34.6525844,135.5084818
16,京セラドーム大阪,34.6692995,135.4760657
17,天保山大観覧車,34.656283,135.4309515
18,新世界,34.6523447,135.5061748
19,道頓堀,34.6686261,135.5027134
20,通天閣,34.6525752,135.5063331
21,ユニバーサル・シティウォーク大阪ＴＭ,34.6687026,135.4379197
22,大阪市立東洋陶磁美術館,34.6934844,135.5054151
23,戎橋,34.6690409,135.5013136
24,フェスティバルホール,34.6935175,135.4969492
25,スパワールド世界の大温泉,34.6499233,135.5056911
26,大阪城公園,34.685583,135.5274635
27,なんばウォーク,34.6667819,135.5053438
28,天保山マーケットプレース,34.6557664,135.4298394
29,プレミアホテル-CABIN-大阪,34.6972462,135.5106711
30,キッズプラザ大阪,34.7047554,135.510356
31,大阪市立科学館,34.6912954,135.4915859
32,ホテルプラザオーサカ,34.71704,135.4808028
33,大丸梅田店,34.701986,135.4966489
34,ベッセルイン心斎橋,34.6755306,135.5038133
35,天然温泉延羽の湯,34.665799,135.5359444
36,千日前道具屋筋商店街,34.6639516,135.5035163
37,ヨドバシ梅田,34.7041746,135.49637
38,御堂筋,34.6750253,135.5003245
39,大阪タカシマヤ,34.664694,135.5010348
40,大阪城天守閣,34.6873867,135.5258646
41,オールスター大阪ウォーク,34.7025644,135.4957571
42,日本橋でんでんタウン,34.6575218,135.5057552
43,KIMONOTEA,34.676409,135.4948885
44,大阪ステーションシティ,34.7029831,135.495499
45,心斎橋筋商店街,34.673456,135.5016245
46,海遊館ミュージアムショップ／海遊館のオリジナルグッズ,34.6550587,135.4288754
47,住吉大社,34.6121351,135.4932134
48,北新地,34.6974754,135.4978657
49,アメリカ村,34.6734643,135.4988942
50,天保山ハーバービレッジ,34.6552437,135.4296867
51,あべのマーケットパークキューズモール,34.645115,135.5115218
52,ディアモール大阪,34.7004501,135.49731
53,四天王寺,34.6554862,135.517362
54,中之島公園（大阪府大阪市）,34.6922263,135.5084455
55,HEPFIVE観覧車,34.7040358,135.5004346
56,紀伊國屋書店梅田本店,34.7050437,135.4984934
57,法善寺横丁,34.667765,135.5018635
58,天王寺ミオ,34.6467719,135.5145001
59,インテックス大阪,34.6371138,135.4183636
60,黒門市場,34.6658537,135.5070301
61,千林商店街,34.7240153,135.5526933
62,三井アウトレットパーク大阪鶴見,34.7121732,135.5929707
63,大阪市中央公会堂,34.6935593,135.5039986
64,なにわ食いしんぼ横丁,34.6557664,135.4298394
65,クリスタ長堀,34.6748697,135.4976192
66,露天神社（お初天神）,34.6993253,135.5008237
67,大丸心斎橋店,34.673193,135.5009637
68,大阪城ホール,34.6897159,135.5300353
69,大阪歴史博物館,34.6825521,135.5206172
70,咲くやこの花館,34.7101063,135.5750834
71,阪急三番街,34.7041997,135.4976071
72,ゆう工房＆Cafeゆう大阪梅田店,34.7074888,135.4971819
73,長居公園,34.6124772,135.5177473
74,阪堺電気軌道,34.6005224,135.4889864
75,ホテルモントレル・フレール大阪,34.6979025,135.4995098
76,船場センタービル,34.6819715,135.5038215
77,南船場,34.6766723,135.5018632
78,ホテル京阪京橋グランデレストランロレーヌ,34.6969574,135.5321709
79,大阪鶴橋市場（鶴橋駅界隈）,34.6641967,135.5327637
80,Whityうめだ,34.7020297,135.5005783
81,LUCUA1100,34.7029355,135.4952392
82,JR大阪駅,34.7024874,135.4959501
83,大阪手作り体験のLALALAPO,34.6733316,135.4987382
84,なんばCITY,34.6637516,135.5019387
85,紀伊國屋書店本町店,34.6840888,135.5050277
86,天満天神繁昌亭,34.6965445,135.5125872
87,なんばパークスシネマ,34.6618101,135.5017943
88,長居植物園,34.6101554,135.5214804
89,よしもと漫才劇場,34.6647109,135.503031
90,ルクア大阪,34.7030943,135.4952626
91,ワールド・ワールド・バッフェ（ホテル京阪ユニバーサル・シティ内）,34.6687417,135.4378911
92,Hoop,34.6451137,135.5137955
93,ATC（アジア太平洋トレードセンター）,34.6380527,135.4114122
94,ホテルウィングインターナショナルセレクト大阪梅田,34.7025695,135.5049299
95,オレンジストリート(立花通り),34.671556,135.4895145
96,梅田ロフト,34.7079818,135.4999057
97,ヤンマースタジアム長居,34.6141276,135.5185842
98,大阪市立中央図書館,34.6738953,135.4862711
99,大阪四季劇場,34.6998195,135.4946159
100,新井ビル,34.6907986,135.5063874
101,サムハラ神社,34.678962,135.4909834
102,OsakaWonder,34.661666,135.501954
103,道頓堀くくるコナモンミュージアム,34.6688219,135.5021714
104,あべちか,34.6478914,135.5131882
105,都シティ大阪天王寺,34.6457115,135.5156775
106,ATCホール,34.6359833,135.4146028
107,天保山公園,34.6574568,135.4329377
108,大阪くらしの今昔館,34.7103354,135.5116751
109,口縄坂,34.6566554,135.5107742
110,靱公園,34.6850834,135.4931454
111,日本銀行大阪支店旧館,34.6938648,135.4997156
112,花博記念公園鶴見緑地,34.7101063,135.5750834
113,淀川河川公園,34.727227,135.5212343
114,てんしば,34.6480929,135.5115989
115,THEGARDEN,34.6935437,135.5235121
116,国立国際美術館,34.6918343,135.4920052
117,HEPNAVIO,34.7032793,135.4999978
118,コスモスクエア,34.6427504,135.4123983
119,HEPFIVE,34.7040303,135.5004763
120,大阪科学技術館,34.6864739,135.4963134
121,淀屋橋,34.6919845,135.502296
122,大阪市立美術館,34.6500867,135.5104745
123,太融寺,34.701839,135.5041594
124,時空の広場,34.702558,135.4958221
125,大阪天満宮（天神さん）,34.6958509,135.5124783
126,PANZAてんしばi:na,34.6481983,135.511058
127,梅田センタービル,34.7060493,135.5019978
128,梅田スカイビル・空中庭園展望台,34.7053854,135.4899994
129,ミライザ大阪城,34.6858576,135.5264586
130,アルデ新大阪,34.7335364,135.4999813
131,城北公園,34.7295644,135.538586
